79093 20305
322 2712783 1997773
323 2714169 1999159
324 2713203 1998193
325 2714589 1999579
326 2713635 1998625
327 2714013 1999003
328 2715003 1999993
329 2694757 1979747
330 2694973 1979963
331 2689471 1974461
332 2689561 1974551
333 2710327 1995317
334 2710679 1995669
335 2710801 1995791
336 2699541 1984531
337 2699742 1984732
338 2700778 1985768
339 2701109 1986099
340 2711561 1996551
341 2711693 1996683
342 2714234 1999224
343 2715002 1999992
344 2715437 2000427
345 2714933 1999923
346 2714441 1999431
347 2713949 1998939
348 2712953 1997943
349 2712545 1997535
350 2720742 2005732
351 2718786 2003776
352 2718618 2003608
353 2717994 2002984
354 2717742 2002732
355 2711381 1996371
356 2718439 2003429
357 2718625 2003615
358 2717941 2002931
359 2718666 2003656
360 2718805 2003795
361 2717581 2002571
362 2718481 2003471
363 2718306 2003296
364 2717203 2002193
365 2703803 1988793
366 2705255 1990245
367 2705939 1990929
368 2707163 1992153
369 2708789 1993779
370 2709431 1994421
371 2709190 1994180
372 2708569 1993559
373 2707837 1992827
374 2708026 1993016
375 2708647 1993637
376 2709079 1994069
377 2709727 1994717
378 2709883 1994873
379 2710051 1995041
380 2710471 1995461
381 2698637 1983627
382 2698910 1983900
383 2703575 1988565
384 2703123 1988113
385 2705271 1990261
386 2704109 1989099
387 2688352 1973342
388 2688596 1973586
389 2688754 1973744
390 2689344 1974334
391 2688279 1973269
392 2685321 1970311
393 2694190 1979180
394 2693902 1978892
395 2693818 1978808
396 2693902 1978892
397 2694226 1979216
398 2694550 1979540
399 2695066 1980056
400 2694743 1979733
401 2686762 1971752
402 2686841 1971831
403 2684722 1969712
404 2684540 1969530
405 2700206 1985196
406 2701970 1986960
407 2702630 1987620
408 2698910 1983900
409 2700565 1985555
410 2701393 1986383
411 2702113 1987103
412 2702893 1987883
413 2703133 1988123
414 2699618 1984608
415 2699846 1984836
416 2701178 1986168
417 2701382 1986372
418 2701574 1986564
419 2702186 1987176
420 2694778 1979768
421 2694850 1979840
422 2701442 1986432
423 2701850 1986840
424 2700026 1985016
425 2698634 1983624
426 2697518 1982508
427 2697410 1982400
428 2697134 1982124
429 2697074 1982064
430 2696498 1981488
431 2696738 1981728
432 2697746 1982736
433 2698646 1983636
434 2698212 1983202
435 2697900 1982890
436 2697672 1982662
437 2697048 1982038
438 2696316 1981306
439 2695476 1980466
440 2695116 1980106
441 2694684 1979674
442 2704112 1989102
443 2703971 1988961
444 2703176 1988166
445 2703580 1988570
446 2713118 1998108
447 2713190 1998180
448 2713358 1998348
449 2713466 1998456
450 2714234 1999224
451 2714690 1999680
452 2710706 1995696
453 2711822 1996812
454 2703389 1988379
455 2705447 1990437
456 2704019 1989009
457 2706299 1991289
458 2708090 1993080
459 2709614 1994604
460 2705342 1990332
461 2707163 1992153
462 2708555 1993545
463 2706269 1991259
464 2706365 1991355
465 2704595 1989585
466 2704679 1989669
467 2706515 1991505
468 2707379 1992369
469 2705639 1990629
470 2706275 1991265
471 2704703 1989693
472 2707493 1992483
473 2707613 1992603
474 2707235 1992225
475 2706035 1991025
476 2707427 1992417
477 2708039 1993029
478 2708339 1993329
479 2708483 1993473
480 2708855 1993845
481 2708639 1993629
482 2708435 1993425
483 2707619 1992609
484 2707561 1992551
485 2706757 1991747
486 2705953 1990943
487 2705113 1990103
488 2704261 1989251
489 2704117 1989107
490 2703901 1988891
491 2703697 1988687
492 2702905 1987895
493 2706695 1991685
494 2707103 1992093
495 2707703 1992693
496 2703234 1988224
497 2703402 1988392
498 2703606 1988596
499 2703491 1988481
500 2703287 1988277
501 2703215 1988205
502 2702759 1987749
503 2706865 1991855
504 2707345 1992335
505 2707597 1992587
506 2705065 1990055
507 2703393 1988383
508 2703537 1988527
509 2704753 1989743
510 2707477 1992467
511 2728074 2013064
512 2728981 2013971
513 2728573 2013563
514 2672092 1957082
515 2672479 1957469
516 2673415 1958405
517 2738485 2036785
518 2745921 2044221
519 2746669 2044969
520 2716532 2001522
521 2716820 2001810
522 2718290 2003280
523 2718732 2003722
524 2715608 2000598
525 2716136 2001126
526 2716580 2001570
527 2716988 2001978
528 2717399 2002389
529 2717759 2002749
530 2718026 2003016
531 1633171 2934942
532 1634122 2933991
533 1634646 2933467
534 2684383 1969373
535 2684575 1969565
536 2683536 1968526
537 2369917 2197959
538 2370693 2197183
539 2262780 2309361
540 2269056 2315637
541 2271576 2318157
542 2277716 2324297
543 2280332 2326913
544 2282968 2329549
545 2286156 2332737
546 2289096 2335677
547 2289154 2336909
548 2049037 2519007
549 2051629 2521599
550 1986925 2581119
551 1992637 2575407
552 3861524 646161
553 3860480 645117
554 4074355 531836
555 4024643 581548
556 4020543 585648
557 4020075 586116
558 4019167 587024
559 4018959 587232
560 4018027 588164
561 2701706 1986696
562 2701778 1986768
563 2702498 1987488
564 2694512 1979502
565 2694628 1979618
566 2664871 1949958
567 2653112 1951285
568 848258 3722742
569 848950 3723434
570 852870 3727354
571 854374 3728858
572 857102 3731586
573 626552 3819597
574 626608 3819541
575 640892 3805257
576 641268 3804881
577 641476 3804673
578 650696 3795453
579 654160 3791989
580 654180 3791969
581 655692 3790457
582 656312 3789837
583 657980 3788169
584 658284 3787865
585 659992 3786157
586 661036 3785113
587 664752 3781397
588 665964 3780185
589 666228 3779921
590 666272 3779877
591 1033195 3412975
592 1036779 3409391
593 1638123 2947008
594 1641025 2949910
595 1642398 2951283
596 1634539 2943424
597 1634755 2943640
598 1634827 2943712
599 1637023 2945908
600 1637797 2946682
